age,browse_duration,purchase_count,avg_order_value,gender,city_tier,device_type,return_rate,coupon_usage,favorite_count,click_through_rate,last_purchase_days,app_install_count,membership_level,social_media_active,has_children,education_level,income_bracket,label
28,300,43,1799,女,4,iOS,0.01,10,60,0.87,327,0,普通,否,是,,高,1
28,225,47,1461,男,4,Web,0.08,16,18,0.07,129,1,普通,是,否,硕士,低,1
41,236,22,321,女,2,,0.02,10,3,0.46,101,4,普通,否,是,本科,中,1
41,198,20,955,男,2,Web,0.04,14,45,0.27,32,4,普通,否,否,本科,中,1
,284,40,1519,女,2,Android,,12,99,0.52,,5,普通,是,否,本科,中,1
61,223,33,585,女,1,iOS,0.27,14,66,,355,4,普通,是,是,本科,中,1
55,231,11,1678,男,2,Android,0.29,8,65,0.14,59,5,普通,是,否,硕士,低,1
29,190,39,218,男,4,iOS,0.13,16,45,0.15,348,3,超级VIP,是,否,硕士,中,1
39,24,24,476,男,5,iOS,0.21,20,47,,26,0,普通,是,是,高中,中,1
59,281,47,559,女,4,Android,0.11,5,77,0.63,274,2,普通,否,否,高中,低,1
20,286,31,1897,女,5,iOS,,17,0,0.63,171,5,普通,否,否,本科,低,1
68,86,12,1895,女,5,iOS,0.09,18,76,0.81,329,1,普通,,否,高中,中,1
24,14,26,1882,男,1,Web,0.16,14,29,0.61,357,0,VIP,是,是,博士,高,1
56,,12,1505,男,5,Android,0.22,,21,0.69,199,3,普通,否,是,硕士,高,1
31,83,38,1929,女,1,Android,0.21,9,44,0.96,81,5,VIP,是,是,,高,1
,89,,328,女,,Web,0.2,10,8,0.17,173,3,普通,否,是,,高,1
21,20,49,769,男,5,Android,0.24,14,96,0.82,296,3,普通,是,是,博士,低,1
25,8,30,,男,3,iOS,0.28,10,84,0.27,,5,普通,是,否,高中,低,1
31,120,16,556,女,4,iOS,0.06,14,55,0.09,7,3,VIP,否,是,本科,中,1
41,5,41,1649,男,3,Android,0.18,12,53,0.71,60,5,VIP,否,是,本科,低,1
32,236,46,1747,男,2,iOS,0.06,5,10,0.82,39,4,超级VIP,是,是,硕士,低,1
58,198,37,387,女,4,Android,0.15,13,43,,360,2,超级VIP,是,否,高中,中,1
45,161,27,724,男,5,Android,,9,33,0.84,106,1,普通,是,是,硕士,中,1
25,115,23,548,,3,iOS,0.1,10,38,0.66,36,0,普通,否,否,硕士,高,1
29,92,12,505,男,3,Android,0.23,18,18,0.68,209,0,普通,否,是,本科,低,1
40,205,38,671,女,3,Android,0.26,,89,0.6,23,4,普通,是,是,硕士,低,1
52,135,45,1547,女,4,Android,0.05,6,93,0.07,112,4,普通,否,是,高中,低,1
44,99,16,1037,女,,Android,0.04,3,96,0.94,231,5,普通,是,是,高中,中,1
52,260,23,1077,女,3,iOS,0.12,11,8,0.64,203,3,普通,否,否,高中,低,1
52,102,50,765,女,4,Android,0.19,13,27,0.41,64,0,普通,否,否,本科,高,1
56,189,12,247,男,3,Android,0.08,10,21,0.98,188,4,VIP,否,是,本科,中,1
44,,15,126,女,3,Android,0.29,8,58,0.96,219,4,普通,是,是,高中,低,1
56,249,43,1339,女,1,Web,0.18,13,86,0.89,221,4,普通,否,是,高中,高,1
40,8,19,1835,女,1,Android,0.08,19,61,0.66,46,3,普通,否,是,高中,高,1
30,77,34,527,女,3,iOS,0.09,9,,0.25,321,2,普通,是,,本科,低,1
49,107,43,1133,女,5,Web,0.13,,86,0.51,219,5,普通,是,否,,中,1
24,280,19,774,男,3,Android,0.19,11,99,0.08,10,2,普通,是,否,本科,中,1
62,190,32,1270,女,4,iOS,0.03,15,56,0.17,,3,普通,是,是,高中,低,1
47,285,41,454,男,4,Web,0.05,16,65,0.72,222,3,普通,否,是,本科,高,1
56,257,46,1581,男,2,iOS,,5,65,0.23,239,5,普通,是,否,硕士,低,1
30,220,46,1836,男,1,iOS,0.27,19,43,0.01,,4,VIP,是,是,硕士,中,1
44,201,25,1055,女,3,Web,0.19,14,37,0.39,324,5,普通,是,是,本科,高,1
54,235,41,112,男,1,iOS,0.29,6,100,0.87,64,,普通,是,是,高中,中,1
41,5,13,1169,男,2,Android,0.12,11,3,0.39,128,,普通,否,是,本科,中,1
41,236,42,991,女,1,Web,0.05,8,84,0.22,347,,普通,否,否,硕士,低,1
19,272,18,673,男,2,Web,0.1,8,56,0.32,250,3,普通,否,否,高中,中,1
19,241,13,725,女,3,,0.01,7,83,0.35,269,0,VIP,是,是,高中,中,1
,277,11,1890,女,4,iOS,0.05,19,,0.63,53,2,普通,否,是,高中,,1
49,234,29,941,男,3,Android,0.15,7,87,0.57,352,,VIP,是,是,高中,中,1
23,160,42,860,女,3,Android,0.16,7,35,0.51,47,2,普通,是,是,高中,高,1
39,174,44,1006,男,4,iOS,0.18,,24,,282,1,普通,,,硕士,低,1
,288,28,565,女,5,Web,0.05,4,65,0.55,132,1,普通,是,是,高中,中,1
20,261,16,513,女,3,Android,0.15,9,82,0.69,215,2,普通,否,,,高,1
37,247,31,,女,3,iOS,0.17,17,100,0.9,337,5,普通,是,否,硕士,中,1
36,120,33,421,女,1,Android,0.23,13,49,0.82,290,2,普通,是,是,硕士,高,1
43,140,23,1975,女,2,Web,0.06,9,66,0.24,,4,普通,是,否,硕士,中,1
36,275,28,1709,女,1,Android,0.08,20,86,0.69,109,5,VIP,否,否,本科,中,1
69,194,15,808,女,3,Web,0.04,8,85,0.96,352,1,普通,否,是,高中,高,1
28,38,22,907,女,3,Web,0,15,,0.91,179,3,普通,否,否,,高,1
47,252,31,288,男,,Android,0.13,20,38,0.59,58,0,普通,否,是,本科,高,1
65,,45,1107,女,4,iOS,0.06,15,61,0.58,275,4,普通,是,否,本科,,1
19,21,31,1198,男,5,iOS,0.09,4,68,0.71,49,5,普通,是,是,硕士,高,1
65,57,37,1664,女,5,Web,0.24,11,3,0.62,22,4,普通,是,是,博士,高,1
29,92,45,1445,女,,Android,0.12,,71,0.51,350,4,普通,是,否,博士,高,1
54,102,48,1369,女,5,Web,0.26,18,16,0.71,142,4,普通,是,否,硕士,中,1
58,54,15,1158,女,2,Android,0.25,11,87,0.28,267,3,普通,是,是,博士,高,1
52,230,20,1078,女,3,Web,0.18,8,30,,363,,普通,否,否,本科,高,1
41,144,46,456,男,5,iOS,0.06,18,99,0.98,231,5,VIP,是,是,高中,高,1
28,140,39,,男,4,Android,0.14,15,22,0.79,332,2,超级VIP,是,否,高中,高,1
52,32,14,1149,女,4,Web,0.12,14,61,0.28,,0,普通,是,否,本科,高,1
63,269,12,1220,女,4,Android,,6,51,0.62,314,1,VIP,否,是,本科,低,1
19,84,16,1124,女,2,Android,0.06,12,96,0.32,77,1,普通,是,是,高中,中,1
52,108,26,936,女,4,Android,0.13,9,83,0.37,78,3,VIP,是,是,博士,低,1
50,298,12,1032,女,4,Android,0.12,11,73,0.86,23,,普通,是,否,高中,高,1
24,166,45,1715,男,3,Android,0.26,6,1,0.42,164,1,普通,否,是,本科,中,1
50,85,13,1569,女,2,Android,0.07,8,20,0.25,,3,普通,否,否,本科,高,1
39,203,45,465,男,,iOS,0.24,3,72,0.27,283,3,普通,是,是,本科,中,1
25,253,12,1508,男,3,Android,0.21,12,16,0.3,185,0,普通,是,是,本科,高,1
51,15,50,912,男,5,iOS,0.17,10,15,0.28,173,5,普通,是,否,硕士,低,1
47,207,32,1226,女,2,Android,0.22,15,99,0.8,88,4,普通,是,是,硕士,高,1
36,89,11,1545,,2,iOS,0.07,15,29,0.35,81,1,普通,是,是,本科,中,1
52,78,12,1431,男,2,iOS,0.02,18,44,0.68,,,普通,是,否,本科,低,1
46,,12,1514,男,2,iOS,,3,16,0.04,54,4,普通,否,否,本科,高,1
63,121,22,319,女,2,Android,0.1,20,53,,197,4,普通,否,否,硕士,高,1
,115,42,356,,4,Android,0.03,17,46,,,2,VIP,是,否,本科,低,1
49,69,47,1549,男,3,Android,0.24,7,12,0.6,195,1,普通,是,否,高中,中,1
50,278,17,400,女,5,iOS,0.02,4,53,0.45,151,5,VIP,是,是,高中,低,1
20,136,23,1595,男,4,Android,0.09,8,72,0.35,288,3,超级VIP,是,是,高中,,1
,,32,738,女,3,Android,0.22,19,61,0.49,204,1,普通,是,是,本科,低,1
57,7,31,1147,女,2,Web,0.02,16,8,0.96,95,1,普通,是,是,高中,低,1
63,275,44,359,女,1,Android,0.18,11,44,0.37,288,2,超级VIP,是,否,本科,低,1
,292,23,764,女,2,iOS,0.29,,84,0.78,360,3,普通,是,否,硕士,中,1
64,177,13,773,女,4,iOS,0.16,6,68,0.09,,1,普通,是,是,本科,高,1
40,,18,623,女,3,Android,0.08,14,71,0.51,129,3,普通,否,否,博士,低,1
60,134,49,1818,女,2,iOS,0.12,15,22,0.16,73,1,普通,是,是,本科,中,1
59,211,27,1386,男,3,Android,0.13,4,86,0.08,116,3,普通,否,否,本科,中,1
42,157,35,398,男,2,Web,0.23,13,30,0,189,4,超级VIP,否,是,本科,低,1
30,44,25,825,女,3,Android,0.14,9,85,0.51,91,1,超级VIP,是,是,,低,1
40,231,19,1540,男,5,Android,0.12,17,96,0.19,216,3,普通,是,否,本科,中,1
39,82,47,1320,男,2,Android,0.05,10,4,0.84,33,5,VIP,是,否,硕士,中,1
39,239,47,1006,男,2,Web,0.2,20,73,0.66,304,4,普通,否,是,高中,低,1
23,176,33,805,女,3,Web,0.11,4,50,0.36,26,0,普通,否,否,高中,低,1
54,128,15,1700,女,2,Android,0.17,13,84,0.23,178,0,普通,否,否,硕士,中,1
50,48,36,311,男,5,Web,0.23,19,,0.77,178,5,普通,是,是,高中,高,1
21,126,20,104,女,4,iOS,0,6,13,0.12,102,1,VIP,是,是,博士,中,1
64,279,16,,女,5,Android,0.22,16,100,0.32,209,3,普通,否,是,本科,低,1
57,11,,1468,女,3,Android,0.2,8,29,,228,4,普通,否,否,博士,中,1
36,289,44,1558,男,2,Android,0.25,5,84,0.82,27,5,普通,否,否,本科,低,1
45,158,47,1263,女,5,Android,0.04,18,57,0.21,48,5,普通,是,否,高中,低,1
43,30,17,1145,男,5,iOS,0.08,14,9,0.64,,5,,是,是,高中,低,1
,,22,1749,女,4,iOS,0.04,6,72,0.89,6,1,普通,否,是,本科,低,1
57,101,25,1552,男,5,Android,0.02,9,78,0.81,144,3,普通,是,否,本科,中,1
22,25,28,1305,女,1,Android,0.2,14,21,0.19,313,4,普通,是,否,本科,高,1
39,70,19,1231,女,2,iOS,0.22,16,18,0.19,167,0,普通,否,是,高中,中,1
29,193,11,1119,女,2,iOS,0.22,11,99,0.89,355,5,VIP,是,否,硕士,中,1
,274,32,1475,女,5,,0.13,17,30,0.83,355,3,普通,否,否,硕士,中,1
68,112,24,,女,3,iOS,0.01,18,98,0.5,77,3,普通,是,是,本科,低,1
43,194,12,1912,女,2,iOS,0.02,3,57,0.01,284,3,普通,是,否,,低,1
50,85,29,903,女,2,Android,0.02,12,4,0.67,46,3,普通,否,是,高中,,1
53,148,12,1780,女,4,Web,0.29,7,41,0.01,118,4,普通,是,是,高中,中,1
36,,28,1559,女,5,Web,0.22,4,,0.71,303,4,普通,否,是,硕士,高,1
68,,22,985,女,5,Android,0.16,18,98,0.67,342,4,VIP,是,否,本科,中,1
20,217,32,1692,女,1,iOS,0.16,,3,0.02,312,0,超级VIP,否,是,本科,中,1
18,76,16,452,女,2,Android,0.12,18,9,0.65,121,0,普通,是,否,本科,低,1
48,171,22,1294,女,2,iOS,0.07,7,,0.33,85,,普通,是,是,高中,低,1
34,225,29,654,男,5,Android,0.05,20,46,0.63,149,4,VIP,是,是,本科,低,1
51,248,13,666,女,1,Web,0.02,16,14,0.75,328,2,超级VIP,是,是,本科,中,1
24,133,12,1621,男,3,iOS,0.02,20,28,0.06,293,0,普通,是,是,博士,低,1
70,87,29,326,女,1,iOS,0.14,4,89,0.84,134,1,普通,是,否,高中,,1
46,50,18,784,男,3,Web,0.11,10,87,0.84,244,5,普通,是,否,本科,中,1
41,288,35,1861,女,2,iOS,,,27,,223,0,普通,否,是,,中,1
54,183,22,226,女,3,Android,0.18,19,96,0.14,,,普通,否,是,本科,低,1
40,286,23,1350,,2,iOS,0.14,6,46,0.09,279,5,VIP,是,是,博士,,1
52,265,30,654,女,3,iOS,0.04,15,30,0.14,154,3,超级VIP,是,否,本科,中,1
58,187,18,202,男,1,Web,0.1,,98,0.26,157,2,普通,是,是,高中,低,1
39,,18,178,女,2,iOS,0.06,7,,0.78,194,2,普通,是,否,本科,中,1
30,270,27,1721,女,,iOS,0.19,10,97,0.71,239,5,普通,否,是,,低,1
36,108,39,1979,男,5,Android,0.03,5,63,0.63,142,4,普通,否,是,本科,低,1
26,81,36,,女,2,Android,0.18,11,16,0.21,160,0,普通,是,否,,高,1
48,83,19,299,女,5,Android,0.12,5,32,0.29,12,2,普通,是,是,本科,高,1
53,148,43,308,女,4,iOS,0.04,18,56,0.55,147,0,VIP,否,是,高中,中,1
40,277,12,,女,4,Android,0.04,12,26,0.56,59,1,普通,否,否,博士,低,1
56,291,20,247,女,4,Android,0.29,17,5,0.54,66,1,普通,是,否,本科,低,1
52,279,32,437,男,3,Android,0.02,17,38,0.97,293,0,普通,否,否,高中,高,1
40,204,46,1792,女,5,Android,0.04,19,79,0.8,320,1,普通,否,是,博士,中,1
22,55,37,1377,男,1,Android,,9,40,0.31,318,3,普通,否,是,高中,高,1
46,252,34,929,男,4,iOS,0.24,11,49,0.65,41,3,超级VIP,是,否,本科,高,1
55,105,11,1727,女,4,Android,0.11,5,16,0.6,354,0,普通,是,是,硕士,中,1
25,157,33,1180,女,3,Android,0.28,6,54,0.06,206,4,VIP,否,否,本科,中,1
65,230,23,957,女,5,Android,0.16,12,77,0.9,266,1,VIP,否,是,本科,低,1
24,128,35,1527,女,4,Android,0.24,8,51,0.41,184,0,普通,是,是,本科,中,1
21,167,,,男,1,iOS,0.01,15,11,0.46,159,5,普通,否,是,本科,低,1
36,145,26,,女,1,Android,0.15,16,1,0.77,224,1,VIP,否,否,本科,低,1
62,238,35,1711,女,3,Android,0.17,17,70,0.18,94,1,VIP,是,否,本科,低,1
37,210,35,354,女,4,Android,0.02,3,97,0.01,138,2,VIP,是,是,本科,低,1
25,124,23,801,男,2,Android,0.29,13,64,0.79,228,4,VIP,是,否,本科,高,1
50,,46,1482,女,5,iOS,0.14,14,79,0.52,325,1,普通,是,是,本科,低,1
53,200,31,,男,4,Android,0.06,,33,,,2,普通,否,否,本科,中,1
31,270,26,396,男,2,Android,0.12,18,46,0.58,63,5,超级VIP,是,是,高中,高,1
18,214,38,1586,男,1,iOS,0.11,9,14,0.96,357,4,普通,,是,本科,低,1
40,280,48,411,女,4,Android,0.16,20,49,0.68,1,5,普通,否,是,本科,低,1
28,104,23,1658,男,2,iOS,0.09,19,43,0.16,8,5,普通,是,否,高中,中,1
49,,40,1206,男,3,Web,0.19,18,55,0.08,47,1,普通,是,是,本科,中,1
45,286,16,1603,女,3,Web,0.01,3,64,0.95,281,2,普通,是,是,本科,中,1
53,163,,1021,男,5,Android,0.19,8,71,0.02,226,3,普通,是,是,本科,高,1
67,153,,1774,女,3,Android,0.2,15,94,0.74,305,1,普通,是,,本科,中,1
53,195,42,406,女,2,Android,0.13,5,93,1,243,5,普通,是,否,,低,1
26,103,50,,女,4,Android,0.02,6,34,0.48,341,5,普通,是,否,高中,中,1
19,,50,1017,女,4,Web,0.15,8,46,0.04,,4,普通,是,否,本科,,1
18,132,23,742,女,3,Android,0.26,3,34,0.06,,3,VIP,否,是,本科,中,1
35,79,31,427,男,3,iOS,0.28,17,92,0.9,121,0,普通,是,否,高中,低,1
,270,,,男,5,Web,0.03,16,54,0.03,,2,VIP,否,是,本科,高,1
30,297,22,742,女,2,iOS,0.06,,65,0.92,26,2,普通,是,否,高中,低,1
50,98,31,1121,男,5,iOS,0.18,10,84,0.45,101,0,普通,是,是,硕士,中,1
,80,45,678,男,2,Web,0.22,15,,0.67,30,2,普通,否,是,本科,中,1
45,197,33,370,女,3,iOS,0.07,19,25,0.84,266,3,普通,是,否,高中,,1
34,29,23,1360,女,2,iOS,,4,62,0.68,36,2,VIP,是,是,硕士,高,1
22,129,40,1994,女,4,iOS,0.21,5,78,0.53,9,5,普通,否,,硕士,中,1
27,42,29,445,女,1,Android,0.22,20,69,0.83,93,2,普通,否,否,本科,低,1
36,277,17,277,男,,Web,0.1,12,79,0.28,189,2,普通,是,是,,低,1
30,71,17,1992,男,5,iOS,0.08,6,77,0.22,207,5,,否,是,本科,中,1
45,165,,1411,,3,Web,0.02,20,2,0.84,31,,普通,否,否,硕士,中,1
56,298,11,1499,女,3,Android,0.22,14,60,0.16,,3,普通,是,是,高中,中,1
18,114,38,1570,男,2,iOS,0.24,4,54,0.07,198,2,普通,是,否,本科,中,1
47,246,25,486,女,3,Android,0.01,8,79,0.26,251,1,普通,是,是,本科,中,1
34,195,12,1035,女,3,Android,0.09,,82,0.2,13,1,普通,是,否,本科,中,1
40,144,28,658,女,4,Android,0.28,11,65,0.5,8,5,普通,是,是,博士,低,1
51,55,16,1266,男,4,Android,0.1,20,86,1,76,2,普通,是,是,本科,高,1
51,158,45,1492,男,2,Web,0.06,11,74,0.14,348,2,VIP,是,否,本科,低,1
